Target_Date,Target_ExDate,Target_TTM_Calendar,Final_TTM_AfterAM,Option_File,N_Loaded,N_SecID,N_TargetDate,N_TargetDateExDate,N_AfterBidFilter,N_AfterAskBidFilter,N_AfterNoArb,N_AfterOTM,N_AfterDropNaNIV,N_FinalObs,N_UniqueK,S0,S0_ADJ,RF,DY,DY_Date_Used,Mass_K,Mass_R,Neg_Ratio,Min_RND,Max_RND,EQ_R,GEV_R_Success,GEV_L_Success,Status,ElapsedSeconds
20000118,20000317,59,58,OP2000_1.txt,10072,10072,518,94,85,85,83,46,46,39,39,1455.14,1453.29781963636,0.0602850174285714,0.007972,20000118,1,1,0,0,0.003922167488676,1.0081563852515,1,1,Success,8.8914747
20000222,20000420,58,57,OP2000_2.txt,9866,9866,463,46,43,43,42,23,23,20,20,1352.17,1350.34558846004,0.06160763,0.00864575,20000222,0.999999999999999,1,0,0,0.00386138547575575,1.0071861751522,1,1,Success,8.8429235
20000321,20000519,59,58,OP2000_3.txt,10920,10920,439,38,38,38,37,22,22,20,20,1493.87,1491.7348108922,0.062992224,0.00900117,20000321,1,1,0,0,0.00392939426274198,1.00766485639224,1,1,Success,8.8777027
20000418,20000616,59,58,OP2000_4.txt,9288,9288,502,114,96,96,95,49,49,45,45,1441.61,1439.19792321495,0.0634522925714286,0.01053833,20000418,1,1,0,0,0.00351257759467215,1.00802925035721,1,1,Success,8.7580411
20000523,20000721,59,58,OP2000_5.txt,10422,10422,485,46,44,44,42,24,24,23,23,1373.86,1371.23330855686,0.0683942882539682,0.01204334,20000523,1,1,0,0,0.00333918546493209,1.00884529761801,1,1,Success,8.8184059
20000620,20000818,59,58,OP2000_6.txt,9644,9644,402,44,44,44,42,23,23,22,22,1475.95,1473.2638678216,0.0681012768571428,0.01146347,20000620,1,1,0,0,0.00388682096567376,1.00885173493238,1,1,Success,8.7395073
20000718,20000915,59,58,OP2000_7.txt,8943,8943,474,74,64,64,62,37,37,30,30,1493.74,1491.62427620867,0.0677842174285714,0.00891983,20000718,1,1,0,0,0.00383259555181857,1.00934081140799,1,1,Success,8.7118059
20000822,20001020,59,58,OP2000_8.txt,10235,10235,427,40,39,39,37,20,20,19,19,1498.13,1495.89329292147,0.0669644031868132,0.00940262,20000822,1,1,0,0,0.00415049784230104,1.00918032724744,1,1,Success,8.7274536
20000919,20001117,59,58,OP2000_9.txt,8786,8786,440,44,43,43,40,23,23,21,21,1459.9,1457.71746555107,0.0676251594285714,0.00941516,20000919,1,1,0,0,0.0040943603216677,1.00920155980555,1,1,Success,8.5943686
20001017,20001215,59,58,OP2000_10.txt,10184,10184,488,72,58,58,57,24,24,24,24,1349.97,1348.30544717258,0.0673260391428571,0.00776437,20001017,1,1,0,0,0.00353190982736254,1.00927598969015,1,1,Success,8.8049545
20001121,20010119,59,58,OP2000_11.txt,10230,10230,454,44,41,41,40,23,23,22,22,1347.35,1345.76802155838,0.067415548,0.00739333,20001121,1,1,0,0,0.00347686015532106,1.00942046441602,1,1,Success,8.6925214
20001219,20010216,59,58,OP2000_12.txt,9928,9928,471,58,52,52,46,25,25,23,23,1305.6,1304.91404096292,0.0656970828571429,0.00330725,20001219,0.999999999999999,1,0,0,0.00362112515502869,1.00976439677873,1,1,Success,8.7597152
