Target_Date,Target_ExDate,Target_TTM_Calendar,Final_TTM_AfterAM,Option_File,N_Loaded,N_SecID,N_TargetDate,N_TargetDateExDate,N_AfterBidFilter,N_AfterAskBidFilter,N_AfterNoArb,N_AfterOTM,N_AfterDropNaNIV,N_FinalObs,N_UniqueK,S0,S0_ADJ,RF,DY,DY_Date_Used,Mass_K,Mass_R,Neg_Ratio,Min_RND,Max_RND,EQ_R,GEV_R_Success,GEV_L_Success,Status,ElapsedSeconds
20060320,20060915,179,178,OP2006_3.txt,12997,12997,526,43,38,38,38,22,22,20,20,1305.08,1292.71465311568,0.0507139817142857,0.01952125,20060320,1,1,0,0,0.00402277359467995,1.01499674494494,1,1,Success,9.2802438
20060619,20061215,179,178,OP2006_6.txt,14072,14072,588,86,80,80,78,42,42,39,39,1240.14,1228.0428147538,0.0559273568571429,0.0201008,20060619,1,1,0,0,0.00370683470402944,1.01767241164259,1,1,Success,8.8984308
20060918,20070316,179,178,OP2006_9.txt,11683,11683,580,49,46,46,45,24,24,23,23,1321.18,1307.78127283323,0.0545725321428571,0.02090191,20060918,1,1,0,0,0.00414486210338772,1.01650038930786,1,1,Success,8.8349963
20061218,20070615,179,178,OP2006_12.txt,13080,13080,601,54,48,48,48,26,26,25,25,1422.48,1408.52907765743,0.0537333868571429,0.02021008,20061218,1,1,0,0,0.00385355375279959,1.01617454705888,1,1,Success,8.8476648
