Target_Date,Target_ExDate,Target_TTM_Calendar,Final_TTM_AfterAM,Option_File,N_Loaded,N_SecID,N_TargetDate,N_TargetDateExDate,N_AfterBidFilter,N_AfterAskBidFilter,N_AfterNoArb,N_AfterOTM,N_AfterDropNaNIV,N_FinalObs,N_UniqueK,S0,S0_ADJ,RF,DY,DY_Date_Used,Mass_K,Mass_R,Neg_Ratio,Min_RND,Max_RND,EQ_R,GEV_R_Success,GEV_L_Success,Status,ElapsedSeconds
20180122,20180420,88,87,OP2018_1.txt,55320,55320,2580,312,289,289,282,157,157,152,152,2832.97,2823.61928890356,0.01747577,0.01387056,20180122,1,1,0,0,0.0033243688562528,1.00086511029732,1,1,Success,12.1944837
20180220,20180518,87,86,OP2018_2.txt,58726,58726,3005,372,361,361,359,180,180,175,175,2716.26,2706.37812696299,0.0194863057142857,0.01546869,20180220,1,1,0,0,0.00239976388309086,1.00102862380794,1,1,Success,10.8641955
20180319,20180615,88,87,OP2018_3.txt,65078,65078,3245,492,461,461,444,239,239,231,231,2712.92,2702.16601338122,0.0214604868571429,0.01666358,20180319,1,1,0,0,0.00240373516291706,1.00115537329015,1,1,Success,11.1309563
20180423,20180720,88,87,OP2018_4.txt,67200,67200,3219,488,476,476,448,246,246,238,238,2670.29,2659.87565863896,0.0225215942857143,0.01639439,20180423,1,1,0,0,0.00255409983181295,1.00134772252849,1,1,Success,11.1873228
20180521,20180817,88,87,OP2018_5.txt,65266,65266,2906,466,452,452,442,239,239,231,231,2733.01,2722.19641331565,0.0223183851428571,0.0166327,20180521,1,1,0,0,0.00308812126850521,1.00141910935119,1,1,Success,11.2363579
20180625,20180921,88,87,OP2018_6.txt,64080,64080,3343,488,468,468,468,242,242,234,234,2717.07,2705.8223355582,0.0232469789285714,0.01740346,20180625,1,1,0,0,0.00273692833299688,1.00139056588314,1,1,Success,11.4763875
20180723,20181019,88,87,OP2018_7.txt,66226,66226,3171,465,455,455,446,242,242,234,234,2806.98,2795.33276364997,0.0232844068571429,0.01744455,20180723,1,1,0,0,0.00311686213795628,1.00150898352071,1,1,Success,11.7503644
20180820,20181116,88,87,OP2018_8.txt,71027,71027,3077,464,451,451,451,240,240,232,232,2857.05,2844.68935132612,0.0230271854285714,0.01819023,20180820,1,1,0,0,0.00302055085770005,1.00116057035044,1,1,Success,11.3456882
20180924,20181221,88,87,OP2018_9.txt,58464,58464,3049,515,470,470,459,249,249,241,241,2919.37,2907.23146097219,0.0245059346428571,0.01748056,20180924,1,1,0,0,0.00292289235754162,1.00185289533979,1,1,Success,10.916625
20181022,20190118,88,87,OP2018_10.txt,74938,74938,3371,531,510,510,472,266,266,258,258,2755.88,2744.47060369345,0.0258131108571429,0.0174051,20181022,1,1,0,0,0.00220937904116877,1.00185378421481,1,1,Success,11.526344
20181119,20190215,88,87,OP2018_11.txt,68283,68283,3164,489,478,478,472,252,252,244,244,2690.73,2680.10480095337,0.0261779277142857,0.01659967,20181119,1,1,0,0,0.00200582125608811,1.0020377836025,1,1,Success,11.1795287
20181217,20190315,88,87,OP2018_12.txt,63034,63034,3303,513,492,492,478,251,251,243,243,2545.94,2535.9049554882,0.0270152942857143,0.01656922,20181217,1,1,0,0,0.00170081434029795,1.00243572843063,1,1,Success,11.8659905
