Target_Date,Target_ExDate,Target_TTM_Calendar,Final_TTM_AfterAM,Option_File,N_Loaded,N_SecID,N_TargetDate,N_TargetDateExDate,N_AfterBidFilter,N_AfterAskBidFilter,N_AfterNoArb,N_AfterOTM,N_AfterDropNaNIV,N_FinalObs,N_UniqueK,S0,S0_ADJ,RF,DY,DY_Date_Used,Mass_K,Mass_R,Neg_Ratio,Min_RND,Max_RND,EQ_R,GEV_R_Success,GEV_L_Success,Status,ElapsedSeconds
20240122,20240419,88,87,OP2024_1.txt,126166,126166,6076,603,584,584,565,315,315,307,307,4850.43,4834.19212332243,0.0536600751612903,0.01406859,20240122,1,1,0,0,0.00162454792981097,1.00981351666806,1,1,Success,14.2363717
20240220,20240517,87,86,OP2024_2.txt,119454,119454,5898,602,581,581,561,317,317,309,309,4975.51,4958.89927137624,0.0529660193548387,0.01419291,20240220,1,1,0,0,0.00145904410472146,1.00956150500079,1,1,Success,14.4903897
20240325,20240621,88,87,OP2024_3.txt,128004,128004,6898,664,632,632,612,344,344,336,336,5218.19,5202.71714365928,0.0534130619354839,0.01245859,20240325,1,1,0,0,0.00143205784094695,1.01015215098137,1,1,Success,13.7676734
20240422,20240719,88,87,OP2024_4.txt,148346,148346,6558,646,614,614,603,327,327,319,319,5010.6,4996.8515538714,0.053189,0.01152747,20240422,0.999999999999999,1,0,0,0.00128892265992642,1.01026006301087,1,1,Success,14.6968234
20240520,20240816,88,87,OP2024_5.txt,140448,140448,6253,629,597,597,569,323,323,315,315,5308.13,5293.88909693995,0.0540094593548387,0.01127075,20240520,1,1,0,0,0.00156319510470889,1.01062434665673,1,1,Success,14.3408989
20240624,20240920,88,87,OP2024_6.txt,126667,126667,7017,672,640,640,620,343,343,335,335,5447.87,5434.2485870766,0.0550669067741935,0.01050298,20240624,1,1,0,0,0.00139630977242493,1.01101708569067,1,1,Success,14.4871382
20240722,20241018,88,87,OP2024_7.txt,160702,160702,7309,671,643,643,630,346,346,338,338,5564.41,5551.15288859752,0.0537121622580645,0.0100074,20240722,1,1,0,0,0.00132981420138086,1.01078339463456,1,1,Success,15.1214696
20240819,20241115,88,87,OP2024_8.txt,168559,168559,7356,663,641,641,630,344,344,336,336,5608.25,5595.34139468678,0.0527651312903226,0.00966776,20240819,1,0.999999999999999,0,0,0.0012298234144923,1.01076464774102,1,1,Success,15.4742728
20240923,20241220,88,87,OP2024_9.txt,153390,153390,7730,712,685,685,672,351,351,343,343,5718.57,5704.81917140581,0.0510421606451613,0.01010038,20240923,1,1,0,0,0.0011674843070492,1.01032448953865,1,1,Success,14.8206361
20241021,20250117,88,87,OP2024_10.txt,177572,177572,7661,694,677,677,662,359,359,351,351,5853.98,5839.65471323293,0.0482600967741936,0.01027916,20241021,1,1,0,0,0.00116268713754421,1.00973064809105,1,1,Success,16.9057672
20241125,20250221,88,87,OP2024_11.txt,146233,146233,7252,655,634,634,622,337,337,329,329,5987.37,5973.9365084163,0.0485386590322581,0.00942354,20241125,1,1,0,0,0.00125799824665284,1.00992252188885,1,1,Success,14.5680431
20241223,20250321,88,87,OP2024_12.txt,160914,160914,7465,663,636,636,630,334,334,326,326,5974.07,5961.74319863267,0.0487302158064516,0.00866567,20241223,1,1,0,0,0.00116967525592514,1.01018163761751,1,1,Success,15.2345866
