Target_Date,Target_ExDate,Target_TTM_Calendar,Final_TTM_AfterAM,Option_File,N_Loaded,N_SecID,N_TargetDate,N_TargetDateExDate,N_AfterBidFilter,N_AfterAskBidFilter,N_AfterNoArb,N_AfterOTM,N_AfterDropNaNIV,N_FinalObs,N_UniqueK,S0,S0_ADJ,RF,DY,DY_Date_Used,Mass_K,Mass_R,Neg_Ratio,Min_RND,Max_RND,EQ_R,GEV_R_Success,GEV_L_Success,Status,ElapsedSeconds
19960122,19960419,88,87,OP1996_1.txt,4904,4904,226,7,7,7,7,6,6,6,6,613.4,609.379479930665,0.054997883968254,0.02758921,19960122,1,0.999999999999988,0,0,0.463143724895343,1.00645815701057,1,1,Success,9.4589272
19960220,19960517,87,86,OP1996_2.txt,5473,5473,282,11,11,11,11,10,10,6,6,640.65,636.804552857611,0.0534838495238095,0.02555213,19960220,1,1,0,0,0.0204379849686644,1.0239749393948,1,1,Success,8.5859696
19960325,19960621,88,87,OP1996_3.txt,6135,6135,286,68,63,63,63,40,40,32,32,650.04,646.196926086324,0.0546516265934066,0.02487707,19960325,1,1,0,0,0.00946758728714569,1.00649338001779,1,1,Success,8.718644
19960422,19960719,88,87,OP1996_4.txt,5588,5588,245,7,7,7,7,6,6,5,5,647.89,644.152812357631,0.0551687112698413,0.02427017,19960422,1,1,0,0,0.0186296756865649,1.01920543659106,1,1,Success,8.5482458
19960520,19960816,88,87,OP1996_5.txt,6102,6102,253,4,4,4,4,4,4,4,4,673.15,669.460592348902,0.0554585645714286,0.02305745,19960520,1,1,0,0,0.0137643390464588,0.997505615416008,1,1,Success,8.7488333
19960624,19960920,88,87,OP1996_6.txt,5516,5516,258,61,58,58,58,40,40,32,32,668.85,665.563264353543,0.0570609478021978,0.02066707,19960624,1,1,0,0,0.00958871316431752,1.00837706270366,1,1,Success,8.5279723
19960722,19961018,88,87,OP1996_7.txt,6470,6470,283,11,11,11,11,9,9,7,7,633.77,630.675537067695,0.0570207141269841,0.02053476,19960722,1,1,0,0,0.0105572711471168,0.99082727824922,1,1,Success,8.669225
19960819,19961115,88,87,OP1996_8.txt,6240,6240,260,8,8,8,8,8,8,8,8,666.58,663.282367358807,0.0559547638095238,0.02080655,19960819,1,1.00000000000002,0,0,2.00878774097447,0.999182387334957,1,1,Success,8.6191622
19960923,19961220,88,87,OP1996_9.txt,6095,6095,288,65,59,59,59,38,38,31,31,686.48,682.881506493537,0.0580382114285714,0.02204993,19960923,1,1,0,0,0.00978131307480898,1.0079906744964,1,1,Success,9.2990442
19961021,19970117,88,87,OP1996_10.txt,6992,6992,294,16,16,16,16,12,12,8,8,709.85,705.799359418088,0.0557447307936508,0.02400893,19961021,1,1,0,0,0.0113493116477837,0.991437467740593,1,1,Success,8.9231355
19961125,19970221,88,87,OP1996_11.txt,6360,6360,356,30,30,30,30,20,20,15,15,757.03,752.706365160573,0.0551465307142857,0.02402994,19961125,1,1,0,0,0.00895689261025721,1.00124675933366,1,1,Success,8.6465906
19961223,19970321,88,87,OP1996_12.txt,6958,6958,299,81,76,76,76,46,46,39,39,746.92,742.682967808596,0.0570316154945055,0.0238669,19961223,1,1,0,0,0.00751802699039548,1.00774035208974,1,1,Success,8.7820573
19970120,19970418,88,87,OP1997_1.txt,7820,7820,333,24,24,24,24,16,16,12,12,776.7,772.583266375584,0.0560613384126984,0.02229598,19970120,1,1,0,0,0.00825399795810158,0.995105363144804,1,1,Success,8.9542752
19970324,19970620,88,87,OP1997_3.txt,8391,8391,381,81,74,74,72,44,44,36,36,790.89,786.852599152869,0.0586560931868132,0.02147189,19970324,1,1,0,0,0.00642054645272983,1.00855033610369,1,1,Success,8.9113242
19970421,19970718,88,87,OP1997_4.txt,9046,9046,396,22,22,22,22,15,15,11,11,760.37,756.957673165103,0.0592068907936508,0.01887016,19970421,1,1,0,0,0.00607757486116685,1.01527028674671,1,1,Success,8.7177382
