alpha,beta_0.85,beta_0.90,beta_0.95,beta_1.00,beta_1.05
0.90,531.5823,531.8496,531.981,532.0197,531.9852
0.95,532.6371,532.8806,532.9623,532.9381,532.8401
1.00,532.359,532.5744,532.6192,532.55,532.4005
1.05,531.0207,531.2047,531.2082,531.0896,530.8842
