alpha,beta_0.85,beta_0.90,beta_0.95,beta_1.00,beta_1.05
0.90,559.0273,559.7659,559.944,559.9141,559.7533
0.95,560.9834,561.3671,561.2766,561.0392,560.6855
1.00,561.2003,561.4441,561.3141,560.9712,560.4981
1.05,560.0875,560.3094,560.18,559.8387,559.3645
