Measure,Val_at_0_8,Val_at_1,Val_at_1_2,Min_08_12,Max_08_12
ARA,4.6022,1.5769,0.3636,0.3644,4.6008
RRA,3.6818,1.5769,0.4363,0.4372,3.6809
AP,9.3007,7.718,9.2259,7.7175,9.2996
RP,7.4405,7.718,11.071,7.2925,11.0635
AT,11.0322,7.7511,7.4469,7.1431,11.0307
RT,8.8258,7.7511,8.9362,7.7152,8.9318
