Measure,Val_at_0_8,Val_at_1,Val_at_1_2,Min_08_12,Max_08_12
ARA,1.6024,0.549,0.1266,0.1269,1.6019
RRA,1.2819,0.549,0.1519,0.1522,1.2817
AP,6.3009,6.6901,8.9889,6.2494,8.9841
RP,5.0407,6.6901,10.7867,5.041,10.7786
AT,6.6199,5.7848,6.9293,5.7843,6.9261
RT,5.2959,5.7848,8.3152,5.2959,8.3096
