Simulation,LL_A,LL_B,Beta_A,Beta_B,TestStatistic,PIT_Sup_A,PIT_Sup_B,PIT_Gain_B,PIT_Pairwise_Delta,KS_A,KS_B,ExitFlag_A,ExitFlag_B
1,611.254998709289,616.701935995015,1,1,10.8938745714518,0.0295774647887324,0.0183098591549296,0.0112676056338028,0.0225352112676056,0.0473738118097662,0.0317578127959811,1,2
2,626.627420453322,628.792995030903,1,1,4.33114915516171,0.023943661971831,0.00985915492957747,0.0140845070422535,0.0225352112676056,0.0388820896517099,0.0339244165216616,2,2
3,609.648334733169,611.271401470216,1,1,3.24613347409399,0.0211267605633803,0.0211267605633803,0,0.0112676056338028,0.0329350513358546,0.0315743510482179,2,2
4,639.392215692062,643.523581609394,1,1,8.26273183466469,0.0492957746478873,0.0323943661971831,0.0169014084507042,0.0169014084507042,0.0742713123965717,0.0343263154464237,2,2
5,619.799557258796,624.242504943073,1,1,8.88589536855443,0.0211267605633803,0.0183098591549296,0.0028169014084507,0.0140845070422535,0.0365217939770891,0.023695725730711,2,2
6,611.905132225883,613.218986607018,1,1,2.62770876226932,0.0295774647887324,0.0295774647887324,0,0.0112676056338028,0.0387132449325247,0.0317017570546049,2,2
7,617.006593797753,617.594408144841,1,1,1.17562869417634,0.0183098591549296,0.023943661971831,-0.0056338028169014,0.0169014084507042,0.0265647136791571,0.0246577790121852,1,2
8,637.536350321215,637.765411243963,1,1,0.458121845496407,0.0211267605633803,0.023943661971831,-0.00281690140845071,0.00845070422535212,0.0273134338212708,0.0330730121743706,2,2
9,650.641586437193,650.841260877478,1,1,0.399348880571551,0.0267605633802817,0.023943661971831,0.0028169014084507,0.00281690140845071,0.0360407975851977,0.0379156687308037,2,2
10,653.520862522077,655.590474752009,1,1,4.13922445986395,0.0464788732394366,0.0352112676056338,0.0112676056338028,0.028169014084507,0.054582883516595,0.0343054706841178,2,2
11,621.445023274182,623.353170044297,1,1,3.81629354023107,0.0295774647887324,0.0211267605633803,0.00845070422535212,0.0225352112676056,0.0512096751252374,0.0332953266932304,2,2
12,616.103383765604,616.958974286311,1,1,1.71118104141487,0.0267605633802817,0.0323943661971831,-0.00563380281690141,0.00845070422535212,0.0262634791283747,0.028167141912404,2,2
13,607.199760643905,608.991788364953,1,1,3.58405544209563,0.0183098591549296,0.0267605633802817,-0.00845070422535212,0.0197183098591549,0.0336786656616375,0.0329888974256775,1,2
