Bin,LowerEdge,UpperEdge,MeanProbability_A,MeanProbability_B
1,0,0.1,0.102422535211268,0.103211267605634
2,0.1,0.2,0.0983661971830986,0.0979718309859155
3,0.2,0.3,0.0993802816901408,0.100676056338028
4,0.3,0.4,0.104394366197183,0.104732394366197
5,0.4,0.5,0.0995492957746479,0.0990422535211268
6,0.5,0.6,0.102816901408451,0.101802816901408
7,0.6,0.7,0.0989859154929578,0.0994929577464789
8,0.7,0.8,0.0972957746478873,0.0966760563380282
9,0.8,0.9,0.0987042253521127,0.0985352112676056
10,0.9,1,0.0980845070422535,0.0978591549295775
