Bin,LowerEdge,UpperEdge,MeanProbability_A,MeanProbability_B
1,0,0.1,0.101464788732394,0.0972394366197183
2,0.1,0.2,0.10343661971831,0.099830985915493
3,0.2,0.3,0.106140845070423,0.104281690140845
4,0.3,0.4,0.096112676056338,0.0994366197183099
5,0.4,0.5,0.100619718309859,0.100676056338028
6,0.5,0.6,0.0995492957746479,0.101295774647887
7,0.6,0.7,0.10230985915493,0.103154929577465
8,0.7,0.8,0.095830985915493,0.0987605633802817
9,0.8,0.9,0.0968450704225352,0.096
10,0.9,1,0.0976901408450704,0.0993239436619718
