Experiment,Num_Bins,Model_A,Model_B,Is_Pairwise_Null_DGP,Observed_LR,Simulated_LR_PValue,PlusOne_LR_PValue,Observed_PIT_Pairwise_Delta,Simulated_PIT_Delta_PValue,PlusOne_PIT_Delta_PValue,PIT_Uniformity_Target_Model,Observed_PIT_SupUniform,Simulated_PIT_Uniformity_PValue,PlusOne_PIT_Uniformity_PValue,Successful_Replications,Mean_LR,Median_LR,P95_LR,Mean_PIT_Pairwise_Delta,P95_PIT_Pairwise_Delta,Mean_PIT_SupUniform,P95_PIT_SupUniform,Fraction_LL_B_Greater,Fraction_PIT_B_CloserToUniform,Successful_Null_Uniformity_Replications
Shape null - common constrained DGP,10,Common null,Unconstrained SDF,1,3.5306348053789,0.38,0.392156862745098,0.0169014084507042,0.32,0.333333333333333,Common null,0.0154929577464789,1,1,50,3.03867207452216,2.37506438020557,8.77910246937927,0.0152112676056338,0.0338028169014084,0.028056338028169,0.0436619718309859,1,0.46,50
Shape null - common constrained DGP,20,Common null,Unconstrained SDF,1,3.5306348053789,0.38,0.392156862745098,0.0169014084507042,0.48,0.490196078431373,Common null,0.0232394366197183,0.62,0.627450980392157,50,3.03867207452216,2.37506438020557,8.77910246937927,0.0164507042253521,0.028169014084507,0.0244225352112676,0.0373239436619718,1,0.42,50
